method,p0,q0,istate,model,"SE, adi, hist inf","SE, adi, KDE inf","SE, adi, KL inf","SH, adi, hist inf","SH, adi, KDE inf","SH, adi, KL inf","SE, dia, hist inf","SE, dia, KDE inf","SE, dia, KL inf","SE, adi, average","SH, adi, average","SE, dia, average"
FSSH_h_minus,10.0,-6.0,0,Tully1,0.003652557097008451,0.003952577048159802,-12.182680937545364,0.0029507434644715056,0.0035434986058993988,-12.600356177001203,0.004316702970078836,0.004686291194065107,-12.00152650475444,0.05876190434129357,0.05856800722823529,0.06208847140850394
FSSH_v_minus,10.0,-6.0,0,Tully1,0.004044478088607965,0.0043287645743352475,-11.463993043998071,0.0034901731493853145,0.003789333195115868,-11.7340584165461,0.004620539323087296,0.004930312310374098,-11.547875798848738,0.05920147435582207,0.0589625464213387,0.06274194618762839
FSSH_g_minus,10.0,-6.0,1,Tully1,0.00414425961771785,0.004625951876327691,-11.940226196041364,0.004429922296864557,0.005249723600864773,-12.111013050884678,0.004779308216324035,0.005203646853460738,-11.893058894647485,0.08061450730778143,0.08184991100955041,0.08151066078607073
FSSH_g_plus,10.0,-6.0,1,Tully1,0.004437091078445459,0.004926917229657921,-11.74660137583403,0.0046550109694794084,0.00507896722127737,-12.146982804480546,0.00409516189167632,0.004563077370115736,-12.256871011693752,0.07916408642783282,0.07953771261077655,0.07989205253337094
FSSH_g_jt,10.0,-6.0,1,Tully1,0.00445544822758672,0.004895662779147438,-11.642552746349299,0.005022082736633201,0.005440230696301918,-11.993265419589843,0.0049851280242584626,0.00542890550492892,-11.706549221838207,0.07848991878134579,0.07886919212793905,0.07922090117119443
IDA_FSSH_g_minus,10.0,-6.0,1,Tully1,0.007772526230329884,0.008592776831605548,-10.968008900531702,0.0075922519421524155,0.008202885706859802,-11.619588597096133,0.007570745017477365,0.007594705448315502,-11.403068758935326,0.0806637478909752,0.0750616836955421,0.08015925693092944
FSSH_h_minus,10.0,-6.0,1,Tully1,0.004283375750194328,0.004730747289189617,-11.876852984018326,0.004925333737276104,0.005331923822336496,-12.027154521076646,0.004597481779771103,0.005066476254300965,-12.030866976781237,0.08031539845254661,0.08038443694191873,0.08112094655025262
FSSH_v_minus,10.0,-6.0,1,Tully1,0.0042794371417840486,0.004718191274209314,-11.826251825815017,0.004396510406531464,0.004803107933090785,-12.157067024528676,0.004839165327914234,0.005254095252756836,-11.768758954617288,0.08036407189041461,0.08043663534240517,0.08120728217109824
FSSH_g_minus,20.0,-6.0,0,Tully2,0.03319965739883504,0.03240171480492483,-7.64741487230463,0.02168831977894453,0.02245904165492632,-7.498405170383673,0.028949194756306723,0.025233650344642783,-5.564161098547148,0.2244280874426354,0.20687549953486972,0.16940856165836948
FSSH_g_plus,20.0,-6.0,0,Tully2,0.03281504766855261,0.03289831887582366,-7.303150983743524,0.021996053624711465,0.02278450055861931,-7.1514268826776295,0.028929581838063913,0.025823691880942024,-5.455790592472558,0.22470248428940898,0.20690689673865115,0.17025207486659538
